"Номер объявления","Регион размещения","Город","Адрес","Категория","Подкатегория","Параметр","Название объявления","Цена","Дата первой публикации","Дата снятия с публикации","Дней на Авито","Показы","Конверсия из показов в просмотры","Просмотры","Средняя цена просмотра","Конверсия из просмотров в контакты","Целевые просмотры","Контакты","Написали в чат","Посмотрели телефон","Посмотрели телефон и написали в чат","Откликнулись на скидку в чате","Средняя цена контакта","Добавили в избранное","Расходы на объявления","Списано бонусов на объявления","Расходы на размещение и целевые действия","Расходы на продвижение","Остальные расходы"
"7896216769","Башкортостан","Стерлитамак","Стерлитамак","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","14","7.14%","1","18.50","0.00%","1","0","0","0","0","0","","0","18.50","0.00","18.50","0.00","0.00"
"7896284719","Иркутская область","Ангарск","Ангарск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","12","8.33%","1","17.60","0.00%","1","0","0","0","0","0","","0","17.60","0.00","17.60","0.00","0.00"
"7896286820","Тамбовская область","Тамбов","Тамбов","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","13","7.69%","1","14.90","0.00%","1","0","0","0","0","0","","0","14.90","0.00","14.90","0.00","0.00"
"7896397525","Нижегородская область","Нижний Новгород","Нижний Новгород","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","13","7.69%","1","18.50","0.00%","1","0","0","0","0","0","","0","18.50","0.00","18.50","0.00","0.00"
"7896407789","Орловская область","Орёл","Орёл","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","13","7.69%","1","14.90","0.00%","1","0","0","0","0","0","","0","14.90","0.00","14.90","0.00","0.00"
"7896575084","Ростовская область","Таганрог","Таганрог","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","12","8.33%","1","12.90","0.00%","1","0","0","0","0","0","","0","12.90","0.00","12.90","0.00","0.00"
"7896873278","Пермский край","Пермь","Пермь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-01-27","2026-03-31","36","14","7.14%","1","145.00","100.00%","1","1","1","0","0","0","145.00","1","145.00","0.00","145.00","0.00","0.00"
"7896886983","Воронежская область","Воронеж","Воронеж","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","8","12.50%","1","14.90","0.00%","1","0","0","0","0","0","","0","14.90","0.00","14.90","0.00","0.00"
"7928673872","Марий Эл","Йошкар-Ола","Йошкар-Ола","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-03-02","2026-04-01","2","19","5.26%","1","145.00","0.00%","1","0","0","0","0","0","","0","145.00","0.00","145.00","0.00","0.00"
"7895933578","Кабардино-Балкария","Нальчик","Нальчик","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896002611","Костромская область","Кострома","Кострома","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","10","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896014693","Липецкая область","Липецк","Липецк","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","6","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896018858","Калужская область","Калуга","Калуга","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","2","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896023084","Курганская область","Курган","Курган","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","1","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896064443","Крым","Симферополь","Симферополь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896081390","Хабаровский край","Хабаровск","Хабаровск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","6","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896084963","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по математике Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","1","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896098194","Вологодская область","Вологда","Вологда","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896105719","Саратовская область","Энгельс","Энгельс","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","6","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896124684","Приморский край","Владивосток","Владивосток","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896128489","Тульская область","Тула","Тула","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","3","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896130368","Волгоградская область","Волгоград","Волгоград","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","3","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896183312","Калининградская область","Калининград","Калининград","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","4","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896199693","Московская область","Королев","Королёв","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","8","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896209192","Вологодская область","Череповец","Череповец","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","10","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896260192","Все регионы","Санкт-Петербург","Санкт-Петербург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по русскому языку Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","14","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
